review,rating
food was delicious ordered beef kachchi of them had no potato a bit hot to my taste or else it was delicious,5.0
food was delicious rider was excellent overall out of,5.0
food was delicious thanks and thanks again for gift,5.0
food was delicious too much late delivery,3.0
food was delicious!!!!!,5.0
food was delicioustasty and well cooked,5.0
food was delivered after minutes with cold situation,1.0
food was delivered almost min after pickup otherwise well,5.0
food was delivered by polybag worst experience,1.0
food was delivered cold,2.5
food was delivered hot taste is okay with price,3.0
food was delivery was fast and the portion was a lot great experience,5.0
food was disappointing the chowmein was lacking veg and flavour the soup just tasted chilly hot and seemed like it was made with ketchup,2.0
food was disgusting especially kala bhuna,1.0
food was disgusting poor in quntity cold coudnt eat just waste of my money,1.0
food was disgusting the nun was cold and like not fry well and the grill was burned not recommended,2.0
food was dust airokom kacci jibone khai ni half er besi falaye daoa lagce,1.0
food was eatable very decan an item was missing but got the refund and the rice wast not boiled properly,2.0
food was enough for one person cooking was good but packaging was too much poor unhygienic,4.0
food was excellent,5.0
food was excellent always same taste,5.0
food was excellent and fresh as well,5.0
food was excellent but rider was lazy af usually i pay online and get my food delivered at fourth floor where i live but i had to go downstairs to get my food at noon,2.0
food was excellent chicken grill was just wowww and so fresh i loved it!!!,5.0
food was excellent specially the alu vorta,5.0
food was excellent specially the chicken stuffed with spinach and mashed potato dish will always recommend this,5.0
food was excellent unfortunately the rider took more than an hour to deliver it after picking it up it became so cold,5.0
food was excilent but i order thigh peice and they send me rib peice i think bfc will cheak order first then send to customer,4.0
food was extremely salty and the tomatoes smelled rotten i had to dump most of the food half an hour later i started to experience nausea and vomiting tendencies,1.0
food was fantastic,5.0
food was fantastic good,5.0
food was fatlu never buying again,1.0
food was fine and warm,5.0
food was fine but they misplaced my order i had ordered reshmi rolls and they sent me rumali rotis but when i called and complained they did deliver the correct food order to my place,3.0
food was fine but they took more than an hour to prepare the food,2.0
food was fine but wasnt appealing as expected,4.0
food was fresh and delicious,5.0
food was fresh and delicious smells also good i am satisfied alhamdulillah delivery man was very fast,5.0
food was fresh and good as always thanks,5.0
food was fresh and tasted good too price is reasonable as well most importantly they followed thr instructions that i provided in the note for that recommended,5.0
food was fresh and tasty but wasnt as spicy as it used to be,4.0
food was fresh and tasty star,5.0
food was fresh but meat on burger was only small pieces overall good quality food according to the price,3.0
food was fresh but taste wasnt good enoughjust boiled the pasta and served,2.0
food was fresh delicious,5.0
food was fresh the bowl they served was really good,5.0
food was freshamount was goodtasted good,5.0
food was freshly made,5.0
food was full of oil and taste was bad,1.0
food was full of red chilli flakes that was enough to give a heart attack it should better be called just biriyani other than hydrabadi biriyani taste was like trying hard to be tasty but failed,1.0
food was gd but they take too much time,2.0
food was good,4.296296296296297
food was good alhamdulillah,5.0
food was good alhamdulillah well packed and delivered quickly i am satisfied with their service,4.0
food was good and delicious rice was enough for one person,4.0
food was good and delivery was fast as well keep it up,5.0
food was good and enough in quantity,4.0
food was good and fresh,5.0
food was good and fresh and tender just like they say its finger licking good,5.0
food was good and fresh only one suggestionplease provide more sauce one minipack sauce is not enough for crispichicken recommended,5.0
food was good and fresh thanks for the service,4.0
food was good and fresh with proper amount,4.0
food was good and hot but the amount of vegetables was less,3.0
food was good and warm delivery is quick but got one jelly kabab less,4.0
food was good as alwaysbut an item was missing foodpanda gave a compensation for that great deal thanks,4.0
food was good as usual,5.0
food was good as usual but the delivery time was not good took too much time,1.0
food was good at this price point chicken biriyani,4.0
food was good bt portion was smaller than usual,2.0
food was good but according to prize quantity should be more,3.0
food was good but beef khicuri price tk they give me a very small pack of khicuri,3.0
food was good but begun vortar order a alu vorta dice and delivery took so much time,3.0
food was good but borhani needs improvement overall,4.0
food was good but chicken wasnt coocked properly and thoroughly please be more cateful from next time,4.0
food was good but combo meals came without fries,3.0
food was good but comparing the price quanity was less,4.0
food was good but delivery boy was lousyhe took about hours lousily butter nun and grill menue ta valo,4.0
food was good but delivery man took extra money,1.0
food was good but delivery was late,4.0
food was good but did not lay eggs,1.0
food was good but e ordered regular fried chicken which was too spicy for regular,3.0
food was good but garlic sauce was expired must check quality,2.0
food was good but i requested a breast piece! they didnt gave me,3.0
food was good but i think i got food whats quantity wasnt enough,1.0
food was good but it was cold,3.0
food was good but it was too much delay more than an hour,4.0
food was good but it would be better if the delivery system is made faster,3.0
food was good but its takes too much times to preparing,5.0
food was good but ive ordered chicken naga burger they provide me one chicken one beef,3.0
food was good but late delivered,3.0
food was good but low quantity,3.0
food was good but make huge delay my guest has already gone,2.0
food was good but meat size needs to be more satisfactory,2.0
food was good but much late,3.0
food was good but need more mayonese,3.0
food was good but not as qualitiful as dhaka branches they gave me the burger look like it was made or days ago,3.0
food was good but not enough for oneit wasnt hot too,1.0
food was good but not satisfied with the packaging,5.0
food was good but one item was missing,4.0
food was good but paratha was too oily,5.0
food was good but please maintain hygene strictly food was very good,3.0
food was good but poriman kom,1.0
food was good but portion size isnt satisfied,4.0
food was good but price so high,1.0
food was good but quantity is low,2.0
food was good but quantity should be better,4.0
food was good but quantity should be improved,4.0
food was good but quantity was less according to the price i think they should increase the food quantity,4.0
food was good but quantity was poor it must be inflation,3.0
food was good but quantity was slight afterall nice,3.0
food was good but rider ate of it,5.0
food was good but riders should confirm the location over phone while picking,5.0
food was good but s little more salty oily try to concentrate on this things,4.0
food was good but thanda chelo,3.0
food was good but the delivery time was not good i had to wait more time then it was estimated a little bit disappointed,2.0
food was good but the delivery time was very disgusting,1.0
food was good but the delivery was delayed,4.0
food was good but the overall service wasnt good,5.0
food was good but the problem is they take a lot of time,3.0
food was good but the quantity of chicken was poor,3.0
food was good but the quantity wasnt satisfactory also some iteam was missing from theplatters also they took also an hour to deliver the food,2.0
food was good but the rider literally took mins before picking up and the chotpoti got spilled if you want to have fuchka just go to fuchkabilash in person and it will cost you the same,2.0
food was good but the seasoning was not taste like kfc,1.0
food was good but the wrapping was loose,4.0
food was good but their rice portion wasnt enough for person,3.0
food was good but there behaviour has bad,2.0
food was good but there was lack of mutton pis in shor form there was no meat,4.0
food was good but there was lots of carrot which seems unnecessary would have order again but will think twice before order for carrot,3.0
food was good but there was no tissue paper in the package,4.0
food was good but they have significantly decreased the amount which is very disappointing otherwise it was good,3.0
food was good but they increase the price,4.0
food was good but they m b forgot to give chili,4.0
food was good but they reduced the amount of chickenrice and tofuthey should give more chicken and rice like beforewas dissatisfied with the service this timedidnt expect the quality drop from u,2.0
food was good but they sent me paratha instead of naan they should give more attention in order as i dont like paratha i had to order naan from a different restaurant again,4.0
food was good but they supplied wrong items,5.0
food was good but they took hours to prepare when i called fhey said its because of rush had i been a normal dine in customer would they have kept me waiting so long for a burger ?,1.0
food was good but they took too much time to deliver the food,2.0
food was good but too late delivery,3.0
food was good but took too much time deliver,3.0
food was good but you didnt give me the chocolate shake which i mentioned in the instruction this was not expected from you,4.0
food was good but you should maintain time,3.0
food was good but your service was so bad it took hours to deliver a meal,1.0
food was good considering the price but their behaviour delivery time is bellow standerd,3.0
food was good delivery was late,3.0
food was good enough but need more salad next time,5.0
food was good enough but the amount is less,3.0
food was good enough meal for one person,4.0
food was good enough!,4.0
food was good especially the firni,4.0
food was good good amount of proper chciken and not just bones,4.0
food was good i have turned on the cattelary option bt they havent provided that,4.0
food was good i suggest to include toothpick,5.0
food was good it was tasty i like the quality and quantity,4.0
food was good just they put less amount of sauce today but the main culprit was the rider he was so rude unprofessional without any reason !,4.0
food was good love it,5.0
food was good one egge or tikka could be added,4.0
food was good overall,4.0
food was good please follow food safety rules,5.0
food was good please keep it up be aware of food safety,5.0
food was good plz be professional in packaging,4.0
food was good quantity একটু বাড়ানো গেলে ভালো হতো,4.0
food was good rice needs a bit more care chicken and soup was good enough,4.0
food was good rider was also good,5.0
food was good service should be most fast,3.0
food was good tasty and freshduck vuna with chita ruti just wow,5.0
food was good than pizza shuttle but it was cold sandwich sad lyf,4.0
food was good thank you,5.0
food was good thanks for following the cooking instructions!,4.0
food was good thanks for gift weldone,5.0
food was good they always try to maintain the quality but sometimes food quantity ups and down due to chefs mood which is really disappointing,2.0
food was good though there is still need some improvement,4.0
food was good! on time delivery! rider s behaviour was well,5.0
food was good!!,4.0
food was goodbut hours lateits so much disappointed,1.0
food was goodbut they gave half of the itemssome items were missing,3.0
food was goodbutt the quantity of rice was a little less than expected,3.0
food was goodkinto pizza ta olta hoye gesilodelivery man ar dara,3.0
food was goodmeat could have been little more in amount delivered wrong food at first then changed sent the right order was very late when got the food,1.0
food was goodyummybut delivery was too late hrs later i got my food,4.0
food was great,4.75
food was great according to price,5.0
food was great and they even listened to my special instructions burger xpress never disappoints,4.0
food was great but i wish the packaging was better,5.0
food was great but packaging ta aro vhalo korte hobe,5.0
food was great but quantity was low,4.0
food was great but taste was little bit down compare to past but its good all i wanna say cold coffee was great,4.0
food was great but they didnt give the exact food like they had shown in my food the egg and chatney was missing,3.0
food was great but they missed a certain gravy i ordered however i am satisfied,5.0
food was great delivery in time,5.0
food was great packaging can be improved,5.0
food was great really loved it,5.0
food was great today,5.0
food was healthy and tasty,5.0
food was horrible not recommended,1.0
food was hot and delicious,5.0
food was hot and good,5.0
food was hot and very tasty,5.0
food was hot fast delivery,4.0
food was hot good in taste and quantity was quite satisfying overall i am happy to have it,4.0
food was hotthe rider seems to known the routes very wellhe delivered me quicklyoverall i really had a good experience,4.0
food was ice cold we has to warm it in our microwave if the food was hot i would have rate it,3.0
food was inadequate and they didnt delivery all the items,1.0
food was less comparing to money,2.0
food was low in salt,3.0
food was missing,1.25
food was nice,4.0
food was nice and hot could be better if rice portion is little bit more,5.0
food was nice but packaging wasnt better improve your packaging,3.0
food was nice quantity was good if you compare with the price salad was fresh nice overall,4.0
food was no so good there was only just bread some chikhen and the size of the food was too short when they display the size in the picture in menu the food look quite good in amountbt it wasnt,1.0
food was noot good bad smell was coming out of it i ordered so many times but it never happened,1.0
food was not enough good but its fine average quality,3.0
food was not fresh,1.2222222222222223
food was not fresh a little smelly suffering from stomach ace after having it not ordering from them in the morning,1.0
food was not fresh and was cold missing extra nun ruti absolutely horrible,1.0
food was not fresh in my last order,1.0
food was not fresh it caused stomach issues,1.0
food was not fresh looks like they re fry the old items,2.0
food was not fresh that was not expected from cafe star,1.0
food was not freshtomatoo borta was just awfulplease dont cheat customers,1.0
food was not good,1.75
food was not good all,1.0
food was not good and delivery was late,1.0
food was not good and the portion size was small,1.0
food was not good at all,1.0
food was not good enough,1.0
food was not good enough however when we usually take food from kfc physically that taste good it was not fresh either and also kfc sent me food with a spider in that box! alas! its frustrating,1.0
food was not good teast was not well,1.0
food was not good the delivery man was rude,1.0
food was not good wrap was hard to swallow and it was cold,2.0
food was not goodthere were smell like prawn cooked previous dayi m very unhappy and not satisfied about the taste andsmelll of this food,1.0
food was not goodtotally meat was hardbonetheyd didnt give salad,1.0
food was not great we normally eat from here chips where hard and crispy burger taste wasnt the same as usual,1.0
food was not hot,2.0
food was not hot and as expected,3.0
food was not hot and we ordered alur dum but got alu from chicken curry and beef amount was very poor,1.0
food was not hot at all meat pieces were very small,1.0
food was not hotpackaging should be more good,3.0
food was not okay what is wrong with arrows spoon its my favourite restaurant but now they r giving bad service the wedges were not crispy at all but the pasta was tasty though,3.0
food was not properly served by the delivery man,1.0
food was not same test i oder before but this time it was test less,3.0
food was not satisfactory,1.0
food was not so good,1.0
food was not so good!,2.0
food was not tasty,5.0
food was not tasty but delivery time was good,3.0
food was not tasty enough apart from that drinks were missing from my order,1.0
food was not that good,2.0
food was not that tasty,2.0
food was not up to the mark,1.0
food was not warm at all,1.0
food was not warm because of late delivery,1.0
food was not warm taste was not as expected,3.0
food was not well cooked and fried and take a lot of time to delivered almost hours totally disappointed,3.0
food was not well cooked they served half raw food,1.0
food was not well cookedthe chicken smelled stale,1.0
food was not what i ordered and it tasted really badsauce was spilled over the whole bag,1.0
food was not yummy,2.0
food was oily,3.0
food was oily and quality was poor i am not satisfied also portion was less than normal,1.0
food was ok,3.0
food was ok bt quantity was soo minimum onek besi kom eto kom food er jnno keu eto pay o korbena r onek ahamori tasty o silona,1.0
food was ok bt they are too late which disappoint me,2.0
food was ok but not bestbased on price its ok,3.0
food was ok but portion size could have been bigger,1.0
food was ok but portion was not at satisfactory level regarding price and they took a lot of time,4.0
food was ok but so late delivery took almost hours!,1.0
food was ok but tasted less tasty than other restaurants,3.0
food was ok but the delivery man took a while to find my place even after giving him detail address in chat box,3.0
food was ok need more bake on top and bottom less topping than regular days overall okey,3.0
food was ok not great fast delivery,4.0
food was okay but they literally took hour minutes to deliver which is outrageous,1.0
food was okay gave wrong order price is also high for local restaurants,3.0
food was oky okay,4.0
food was old and smelly,1.0
food was on point freshly cooked warm,5.0
food was overall good thanks,5.0
food was pretty good,5.0
food was quite good,4.0
food was really bad the wrap they gave was raw could just ate the filling,1.0
food was really badsucks,1.0
food was really cold,4.0
food was really good,5.0
food was really good but i think price should decrease a bit,3.0
food was really good they need to work on packaging,3.0
food was really good!! the quantity was reasonable amazing experience will definitely order again,5.0
food was really goodspecially pizza,4.0
food was really tasty,5.0
food was really tasty and great portion size,5.0
food was really tasty but quantity was very low,3.0
food was really tasty keep it up thank you,4.0
food was roften and unhealthy they chat with customers literally,1.0
food was rooten nosto chilo khub bhaje,1.0
food was rotten,1.0
food was rotten even rice was sour totally cold probably they made this yesterday,1.0
food was rotten they cooked early it has bad adore,1.0
food was rotten they serve rotten food,1.0
food was rotten we could not eat why did they delivered rotten food from noon? this is crime,1.0
food was rottendidnt had time to return bt the quality was horrible,1.0
food was rottentaste was very bad,1.0
food was saltless chicken was rotten no spoon provided very much unprofessional,1.0
food was served cold,1.0
food was served hot and tasted very iconic quantity was also good,5.0
food was smelly specially the chicken and the potato,1.0
food was so bad !! i dont want to eat this type of quality less food,1.0
food was so badi will never oder this place its first and last,1.0
food was so cold and tasteless,1.0
food was so good fresh im very satisfied,3.0
food was so much cold and rottentotally s waste of money!,1.0
food was so plain the worst wrap i ever had,1.0
food was so spicy and bad taste,1.0
food was so tasteful specially chicken shawarma,4.0
food was so tasty,4.0
food was so tasty but cold coffee was not so good and its packaging was very poor,2.0
food was soggy,2.0
food was somewhat stale,3.0
food was soo good,5.0
food was sooo bad,1.0
food was sooo good but it took too long to delivered,5.0
food was sour notworth the money,1.0
food was stale,2.0
food was sweet please try to maintain flavour of biriyani otherwise its ok tasty thanks,3.0
food was tasteless,1.0
food was tasteless and packaging was horrible not recommended,1.0
food was tasteless too much oily totally waste of money,1.0
food was tasty,4.333333333333333
food was tasty and awesome thanks keep it up,5.0
food was tasty and balanced,5.0
food was tasty and delivery speed was good however the salt team should learn to close the lid of the aluminium foil box properly when the package was delivered the cooking water was dripping,3.0
food was tasty and fresh thank you,4.0
food was tasty and price is affordable,5.0
food was tasty and worthy,5.0
food was tasty as always alhamdulillah but please increase quantity,5.0
food was tasty but cold,3.0
food was tasty but cold should have been warm,5.0
food was tasty but i ordered chicken tikka masala and got chicken tikka kabab i am very disappointed,2.0
food was tasty but in beef tehari beef was hard and chewy,5.0
food was tasty but in this price they are cheating with their customers because its about tk with delivery but the quantity is very low and the meatpieces is just and also tiny,2.0
food was tasty but it took more than the estimated time to prepare,4.0
food was tasty but oil was too much thnx,4.0
food was tasty but packaging was poor all the items was mixed up with each other,4.0
food was tasty but the chicken kabab was full of bones which was not expected it should be more meaty,4.0
food was tasty but the quantity was too poor this is so i satisfactory,3.0
food was tasty but the restaurant took longer time to prepare the meal,3.0
food was tasty but way too saucy,4.0
food was tasty delivery was on time but price should be low,4.0
food was tasty enoughbut i think compare with price you guys should add more chicken,3.0
food was tasty thanks,5.0
food was tastywe should support homefood kitchen like ayshas keep up the good work,5.0
food was terrible yucki am choking on my vomit,1.0
food was terriblefootpath quality yuck,1.0
food was testless and smelled rotten while eating it seems resturant used yesterdays rice and to cover the rice smell they used spices which are also too much in a word the biriyani test was so bad,1.0
food was testless missing mixed vegetables no mashroom with this food very disappointed,1.0
food was too bad,1.0
food was too bad i was order rice they give only rice and also dont give loitta sutki vorta chingri vorta,1.0
food was too cold,1.0
food was too good,3.5
food was too good full satisfied,5.0
food was too good i was a regular customer i love the indian flavour of the khichuri keep it up please keep the taste always same,5.0
food was too good tooooo good bt delivery anekkk late hoise a order korechi delivery asche er dik,5.0
food was too much good quality and quantity both are appriciatable,5.0
food was too much salty this time man not cool,2.0
food was too oily and didnt put any single egg on tk biriyani,2.0
food was too salty,1.5
food was too salty and not fresh,1.0
food was too small in quantity beef quantity is unacceptableonly packaging its tollay eyewashnever will recommend to anyone,1.0
food was too spicy also they provide cheese as less as it looks like jafrankesar in food now! the other day i paid extra charge for cheese and they provided half of a cheese slice! unacceptable,1.0
food was totally cold,1.0
food was totally damned very disappointed,1.0
food was totally worse small bite size pc meat in teheri and the rice was really hard,1.0
food was totally worth of wasting my precious money,3.0
food was totaly coldno taste,1.0
food was undercooked and prepared in a hurry,2.0
food was undoubtedly very tasty packaging and presentation was outstanding but quantity wasnt satisfactory you guys should reconsider about the quantity cheap thrills was ok overall good,5.0
food was unfair,1.0
food was very bad,1.0
food was very bad egg was very spoiled,1.0
food was very bad i cannot relate with their reputation! প্রথমত চিকেন মারাত্মক ভাবে পোড়া ছিল এবং সস নষ্ট মনে হয়েছেআমি আগেও অর্ডার করেছি তবে এতো নিম্নমানের ছিল নাপুরো খাবার টাই ফেলে দিতে হয়েছে,1.0
food was very bad n smelly i will never order any food from this restaurant ever,1.0
food was very bad pizza was cold bread was hard dry nachos was the worst wasnt cooked properly total waste of money,1.0
food was very bad quantity is also bad in this price range dont recommended lollipop pasta,1.0
food was very bad singaras were rotten,1.0
food was very bad you are not perfect to get star,1.0
food was very cold,1.0
food was very cold and there was more bone in the tehari than the amount of beef,1.0
food was very cold tasteless,1.0
food was very delicious but i didnt received khasir koliza waiting for refund lets see!,3.0
food was very delicious thank you so much,5.0
food was very deliciousbut gajorer haluar jagay vule halim diye disilo tao ki korar vagge chilo khailam alhamdulillah naan shobji lassi finni everything was fine but price ta aktu kom hole vlohoto,5.0
food was very dry and they didnt give any meunise,3.0
food was very fresh and delicious,5.0
food was very good,4.833333333333333
food was very good as always but the rider had to take another order delivered with my order so i had to wait for more than minutes for my food to be delivered this is not acceptable,5.0
food was very good huge quantity of mutton fantastic taste,5.0
food was very interesting,1.0
food was very less quantity than regular price i know better whats exact quantity if dont maintain your quality no need to give offers!,2.0
food was very poor quality i did vomiting after eat it,1.0
food was very taste but so coldalways u guys provide cold foodthats so bad!!!,3.0
food was very tasty,4.5
food was very tasty fresh,5.0
food was warm and delicious,4.5
food was warm and good satisfied,5.0
food was warm and nice quantity was worth the prize if you maintain this quality i will be your regular customer,4.0
food was warm and tasted good!,5.0
food was warm and yummy really worth it!,5.0
food was warmsufficient and tasty,5.0
food was wonderful but delivery time to much awaited,4.0
food was worst and took hours to deliver,1.0
food was yammuy just keep up it,5.0
food was yammyfully satisfied,5.0
food was yummy lovely beef bhuna duck bhuna and mutton koliza bhuna was awesome thanks for special gift thanks a lot keep it up,5.0
food was yummythank you,5.0
food wasnt bad but the chicken was over cooked in dum biriyani,3.0
food wasnt cooked properly tasted very different from the usual very dissapointed!!!,1.0
food wasnt fresh and hot,1.0
food wasnt fresh specially the fried chicken wasnt crispy at all it felt soggy and rather rubbery,2.0
food wasnt prepared as instructed,1.0
food wasnt tasty,1.0
food wasnt uptonthe mark beef quantity was poor,1.0
food wast not fresh,1.0
food well but the quality of this is not so good and their service is not so fast they are to late when i got the order i got almost,1.0
food were cold pasta was though average but pizza was really horrible,1.0
food were staled,1.0
food would have been ok if delivered on time i received cold soft fries with a mushy burger and spilled drinks all thanks to foodpanda!!!,1.0
food yummy groom chilo,5.0
foodis good but the price is high,4.0
foodoo is always good keep it up thanks foodoo,4.0
foodpanda automatic ai services are becoming worse day by i have ordered two items twice one out of two times were removed automatically and the shop owner didnt bother calling me for incomplete,1.0
foodpanda delivery man was cheat with me,2.0
foodpanda r mirpur e chap r nun er jnno best,4.0
foodpanda showed me an egg with my ordered items but didnt get any egg with,2.0
foodpanda takeaway waste of timethey almost took hour for delivery disgusting service,1.0
foodpanda te er theke baje experience amr kokhono hoy ni chihh etto baje service o hote pare? order korar pura hour and min lagse khabar paite order na korar jonno request roilo,1.0
foodpandai asle e sob kichu kom kom hoiye jai kno?fooldpanda e bad dite hobe,2.0
foodpandai became worst ordered large pizza gave me small pizza and robbed me taka,1.0
foodpandar delivery system khub kharappizza pura ultaiya noshto hoye gesevery bad service,1.0
foodpandar pickup order dekhe quantity and quality very poor,1.0
foodpandar sob theke baje khabar ami jotogula khaichi tar vitor,1.0
foodpandas communication,1.0
foodpanday job kore ar zindabazar locetion cine na amonmanus keno foodpanda y,5.0
foodpanday joto item ache tar vitor cheez er steak burger amar most favorite kintu aibarer tar quality mone holo drop koreche,4.0
foodpanday order korle thik mto kokhono kisu pai nahoy kom kore dibe na hole jeta order korsi oitar poriborte onno ekta dibe,1.0
foodpanday quantity ato kom dey keno bujhina dokan theke nile aro besi dey,1.0
foodquality was very poor,1.0
foods always very tastydelicious cause not only this time i also ordered before service is great but quantity is fixed,5.0
foods are different then the picture! quality is low and bearly has beef in tehari! bad experience!,1.0
foods are good and taste too recommending,5.0
foods are good with quantity and packaging too recommending,5.0
foods are tasty with foodpanda rather than in restaurant,5.0
foods quality was poor,1.0
foods quality was very bad,1.0
foods taste was amazing,5.0
foods taste was very poor,1.0
foods taste were very good,5.0
foods was good,5.0
foods were downgrade of tehriwala after eating it all of our family member have diarrhoea within hrs of eating please avoid this restaurant,1.0
foods were good,4.0
foods were ok i ordered a full grill chicken and naan bread their grill had a good amount of spice and a lot of saltiness which i didnt like and the naan bread was a bit hard,4.0
foodsupply delay but at the time of my arrival they input message delivered,4.0
foodwasntgood enough,1.0
foodwass uhh okh i guess but the portion wasnt enough,2.0
fool,1.0
foos packaging is not good and qut is very low,1.0
for a taka valued burger there was very small amount of meatand cheese was abcent,2.0
for good food,5.0
for me the price was fine because i got discount as im a pro member but for others who arent pro users yet the price could be a little bit better,2.0
for once it was not smothered with chillies and spices i ordered a shawarma and i could eat it!! no wonder most people talk very loudly here as too many chillies make them deaf science!,5.0
for only tk it was good enough!,5.0
for pack order they include coleslaw,2.0
for packing very bad,3.0
for snacks,4.0
for some reason they stopped adding tomatoes to the burger which is disappointing,3.0
for the first i was disappointed by them the food specially achari rice and the poutien was not fresh it was smells bad and the steak has too masala basically the food tastes so bad i am shocked,3.0
for the first time i am very disappointedtaste was very very awful and disgustingand there was no meat found only bone,1.0
for the price it wasnt that good,4.0
for the price its fair and good enough,3.0
for the price its sub par honestly this packaging was not well thought out a sad soggy hotdog came in an aluminum box i wish bun was toasted there was more a flavor present element of crunch,2.0
for the price the taste and portiin size was extremely poor,2.0
for the second time theydelivererd without salad,1.0
for this price swarma was really good,5.0
for voucher and product quality,5.0
forgot to use the voucher but food was good though,5.0
formal delicious,5.0
formosa packagingg was bad there was holes in it,5.0
formosa ভালো ছিলো tacos অর্ডার করছিলাম তা না দিয়ে শর্মা দিয়েছে প্লাটারের সাথে কোল্ড ড্রিংস দেয় নাই,2.0
forta order selo dan nai,1.0
foul,1.0
foul and khub baje food,1.0
foul food,1.0
foul kacchir picture diya rakhse profile er moddhe order korar por dekhi morog polaw er polaw er moddhe mutton bhuna diya chaliye dise eita kono kotha?,1.0
found a cockroach as soon as i opened my packet,1.0
found a hair,1.0
found a hair in my meal and the taste was awfulthere was no ingredients in the pasta,1.0
found a hair in the chicken soup,2.0
found cockroach in chicken biriyani,1.0
found cockroach in their meal,1.0
found dead insect in beef chaap also had diarrhoea afterwards paratha was not properly fried,1.0
found hair,2.0
found hair in biriyani,1.0
found hair in my burger pete betha kortese,1.0
found hair in the hotchpotch please be careful for the next time!,1.0
found hair in the ricecouldnt enjoy the meal,1.0
found hair on the meal,1.0
found it tasteless meat had fat and felt the combination of ingredients weird,2.0
found some hair,1.0
foung a hair,1.0
four chesse pizza order korechilamprawn thakar kotha neispices r cheese khub e kom baar baar bolar pore or khabar ta onk thanda chilo within minutes delivery hole o khabar thanda chilo,1.0
four mutton pieces were too small dissatisfied,2.0
four season pizza nisilam pizza na only ekta bread er upor faltu toppings deoya totally disappointing,1.0
four season pizza was good but the cheese was less,3.0
four season pizza was good crust was thin crispy,4.0
fowl size is small,3.0
france fry ta ektu bashi pure gaselo,3.0
fraud,1.0
fraud alert!!! gosh ja disen bolar mto na haddi e diten faltu ekdm,1.0
fraud business very small leg pieces,1.0
fraud did not give me the quarter tandori with the special tandori chowmin,1.0
fraud er cheye bhalo ranna bochor er baccha korte parbe,1.0
fraud! ordered one item of and got one of maximum bun of the burger was one of the worst i ever had yeah the flavor was good but can it ever justify the scam they doing? wasted!,1.0
fraud!! poor quality food they didnt gave us what mentioned in the package,1.0
freeze er bashi misty pathaiche,1.0
french fried eto baje ki bolboeto norom mone hocche je alu vorta khacchivery badmochmoch korun,1.0
french fries amount were poor but taste wise its great,4.0
french fries are not crispythat was bad,1.0
french fries are not fresh,3.0
french fries become soggy also it took almost hour to deliverwhite sauce should be little bit less sour than it was also red sauce was not enough,1.0
french fries er sathe sauce ta alada kichu te diyen delivery hoite hoite fries mutamuti rokomer vorta hoia gesilo baki sb thikase,3.0
french fries er shate mayonnaise den ni keno,1.0
french fries gula emon e moja lage quality r change koren nah,5.0
french fries missing,1.0
french fries nd thai soup ok ok,3.0
french fries potato wedgess quantity was too poor! but tasted good chicken fry was delicious!,3.0
french fries soho order krsi pai nai tk to disi etar r order krbo na ekhan theke,1.0
french fries was burnt it was like biting on rock pizza was good,3.0
french fries was cold,2.0
french fries was very bad not recommended beef without bone was good vegetable pakora was not so good and takes too much time to prepare,3.0
french fries wasnt hot,3.0
french fries were bad it was smelling,1.0
french fries were bad very awfully made,1.0
french fries were very bad,1.0
french fries were wet cold and damp i understand there was rain outside but the food should have been protected by polythene,2.0
french fries werent crispy,3.0
french friesaktu o balo hoy naijogonnoo,1.0
french fry gula fresh cilokintu chicken fry khub e choto ciloato baje quantity korceage o order korci ato choto cilo nakhub e choto choto cilo chicken popcorn size r cilo,1.0
french fry is too small portion,3.0
french fry is very soggy,4.0
french fry quantity wasnt that good except that everything was amazing!!,4.0
french fry ta eto saltychi evabe manusher tk niye serve koren apnara!!! baje foodsamusa was good chicken fry ta pura e pure felsenot recommended,2.0
french fry te alur shad bojha jaayna chupshe chhilo ata na diye bheje try koiren ar teler ekta gondho chhilo purano tel noodles ta tok tok chhilo jhaal hoyni bashi,1.0
french fry was cold,3.0
french fry was not good baje rokomer jhal chilo kintu burger gulo khubi valo chilo testy chilo,3.0
french fry was tastyi will do order again,5.0
french fry was too dry,1.0
french frynot properly fried flouratta coating on the surface wontonpieces were broken all over soupvery sour and salty being a regular customer of tiger garden i am utterly disappointed,1.0
french frys amount was very poor otherwise good food,5.0
fresh,4.285714285714286
fresh and delicious,4.5
fresh and healthy food,5.0
fresh and tasty,5.0
fresh and testy,5.0
fresh and yummy,4.0
fresh as always,5.0
fresh but taste was average,3.0
fresh curd thanks highly recommend,4.0
fresh food,5.0
fresh food riders behavior is very good too,4.0
fresh food test and quantity good,4.0
fresh food thanks,5.0
fresh khichuri with a lovely twang,5.0
fresh n delicious,5.0
fresh rich quality food,5.0
fresh tasty,5.0
fresh tasty burger !!,5.0
fresh yummy,4.0
fride rice khilam na sadha vat khilam bujlam na kono sadhi pailam na coffee order diyen na packaging seal korae but mathay tape deynai fole most of the coffee dropped on the package b bq ok,1.0
fridge er doi tobe doi er quality zothesto valo chilo,2.0
fridge er jinis packet krr fiye dche never ever order anyonr,1.0
fridge থেকে বের করে দিছে,1.0
fried chicken,3.0
fried chicken ager moto valo large nai,3.0
fried chicken arektu masala hole bhalo hotooverall ok,3.0
fried chicken can improve though in taste,5.0
